estado;indice_coleta_esgoto;indice_tratamento_esgoto
Acre;20.96;98.09
Amapá;19.47;95.38
Amazonas;24.30;92.29
Pará;12.43;58.29
Rondônia;11.54;70.67
Roraima;70.39;95.05
Tocantins;30.63;98.47
Alagoas;19.08;85.61
Bahia;53.43;79.65
Ceará;38.93;84.61
Maranhão;32.49;38.62
Paraíba;44.58;71.78
Pernambuco;32.81;72.32
Piauí;16.36;81.39
Rio Grande do Norte;32.79;95.37
Sergipe;26.48;72.18
Espírito Santo;57.86;73.21
Minas Gerais;66.39;54.29
Rio de Janeiro;63.14;70.12
São Paulo;80.85;86.30
Paraná;74.73;99.87
Rio Grande do Sul;31.20;77.74
Santa Catarina;31.59;98.69
Distrito Federal;90.03;100.00
Goiás;59.92;92.25
Mato Grosso;51.87;83.59
Mato Grosso do Sul;45.00;99.78
